"Date (TU),""Valeur (en m³/s)"",""Statut"",""Qualification"",""Méthode"",""Continuité"""
"2014-06-13T00:00:00.000Z,""1050"",""4"",16,8,0"
"2014-06-14T00:00:00.000Z,""1080"",""4"",16,8,0"
"2014-06-15T00:00:00.000Z,""1030"",""4"",16,8,0"
"2014-06-16T00:00:00.000Z,""983"",""4"",16,8,0"
"2014-06-17T00:00:00.000Z,""968"",""4"",16,8,0"
"2014-06-18T00:00:00.000Z,""893"",""4"",16,8,0"
"2014-06-19T00:00:00.000Z,""845"",""4"",16,8,0"
"2014-06-20T00:00:00.000Z,""859"",""4"",16,8,0"
"2014-06-21T00:00:00.000Z,""832"",""4"",16,8,0"
"2014-06-22T00:00:00.000Z,""799"",""4"",16,8,0"
"2014-06-23T00:00:00.000Z,""783"",""4"",16,8,0"
"2014-06-24T00:00:00.000Z,""913"",""4"",16,8,0"
"2014-06-25T00:00:00.000Z,""1010"",""4"",16,8,0"
"2014-06-26T00:00:00.000Z,""930"",""4"",16,8,0"
"2014-06-27T00:00:00.000Z,""929"",""4"",16,8,0"
"2014-06-28T00:00:00.000Z,""939"",""4"",16,8,0"
"2014-06-29T00:00:00.000Z,""1020"",""4"",16,8,0"
"2014-06-30T00:00:00.000Z,""1110"",""4"",16,8,0"
"2014-07-01T00:00:00.000Z,""1140"",""4"",16,8,0"
"2014-07-02T00:00:00.000Z,""1070"",""4"",16,8,0"
"2014-07-03T00:00:00.000Z,""1140"",""4"",16,8,0"
"2014-07-04T00:00:00.000Z,""1070"",""4"",16,8,0"
"2014-07-05T00:00:00.000Z,""1110"",""4"",16,8,0"
"2014-07-06T00:00:00.000Z,""1060"",""4"",16,8,0"
"2014-07-07T00:00:00.000Z,""1160"",""4"",16,8,0"
"2014-07-08T00:00:00.000Z,""1450"",""4"",16,8,0"
"2014-07-09T00:00:00.000Z,""1730"",""4"",16,8,0"
"2014-07-10T00:00:00.000Z,""1770"",""4"",16,8,0"
"2014-07-11T00:00:00.000Z,""1950"",""4"",16,8,0"
"2014-07-12T00:00:00.000Z,""2180"",""4"",16,8,0"
"2014-07-13T00:00:00.000Z,""2240"",""4"",16,8,0"
"2014-07-14T00:00:00.000Z,""2350"",""4"",16,8,0"
"2014-07-15T00:00:00.000Z,""2240"",""4"",16,8,0"
"2014-07-16T00:00:00.000Z,""2130"",""4"",16,8,0"
"2014-07-17T00:00:00.000Z,""1990"",""4"",16,8,0"
"2014-07-18T00:00:00.000Z,""1840"",""4"",16,8,0"
"2014-07-19T00:00:00.000Z,""1700"",""4"",16,8,0"
